well_id,name,sRANumber,location_id
580,1504-S3,1504-S3,1347
581,1505,1505,267
582,1505 POD 4,1505 POD 4,92
583,1505-S,1505-S,1211
584,1505-S2,1505-S2,1223
585,1506-G,1506-G,377
586,1507,1507,177
587,151,151,534
588,1510-S4,1510-S4,361
589,1510-S6,1510-S6,1050
590,1510-S8,1510-S8,1159
591,1511,1511,687
592,1511-A,1511-A,734
593,1511-S,1511-S,1065
594,1512,1512,516
595,1514,1514,1207
596,1515,1515,972
597,1516,1516,124
598,1516 POD 5,1516 POD 5,1272
599,1516 POD 6,1516 POD 6,418
600,1516-S,1516-S,973
601,1518-A,1518-A,1304
602,1518-S4,1518-S4,340
603,1519,1519,797
604,1519 POD 5,1519 POD 5,464
605,1519-S,1519-S,67
606,1519-S2,1519-S2,492
607,1520-H;1521-H,1520-H;1521-H,320
608,1521 POD 4,1521 POD 4,422
609,1521-M,1521-M,343
610,1522-BS3,1522-BS3,1142
611,1522-C,1522-C,657
612,1524 S5,1524 S5,509
613,1524-S,1524-S,212
614,1524-S3,1524-S3,1033
615,1524-S4,1524-S4,1099
616,1524-S6,1524-S6,1092
617,1525,1525,452
618,1525 POD3,1525 POD3,860
619,1525-B,1525-B,623
620,1525-S,1525-S,452
621,1525POD5,1525POD5,885
622,1526,1526,1155
623,1527-F,1527-F,613
624,1530-S,1530-S,275
625,1530-S-2,1530-S-2,116
626,1531,1531,799
627,1531-S,1531-S,1165
628,1531-S2,1531-S2,799
629,1535,1535,678
630,1535-S,1535-S,64
631,1536,1536,988
632,15368 BC,15368 BC,576
633,1537-AS2,1537-AS2,1060
634,1537-AS3,1537-AS3,1060
635,1537-S2,1537-S2,415
636,1537-S4,1537-S4,506
637,1537-S5,1537-S5,415
638,1537-S;1338-F,1537-S;1338-F,794
639,1537;1338-F,1537;1338-F,506
640,1538 C-A,1538 C-A,652
641,1538-CD,1538-CD,371
642,1538S,1538S,1324
643,1540 -AE,1540 -AE,25
644,1540 A-B,1540 A-B,665
645,1540-S,1540-S,1061
646,1541,1541,1318
647,1541-S,1541-S,1170
648,1541-S5,1541-S5,1319
649,1542,1542,771
650,1542-S,1542-S,121
651,1542-S2,1542-S2,1236
652,1542-S3,1542-S3,211
653,1543,1543,184
654,1543-A,1543-A,451
655,1543-A-S-5,1543-A-S-5,485
656,1543-AS3,1543-AS3,450
657,1543-S,1543-S,591
658,1547,1547,300
659,1547-A,1547-A,1248
660,1557 POD 5,1557 POD 5,479
661,1557 POD 8,1557 POD 8,602
662,1557 POD7,1557 POD7,284
663,1557-POD6,1557-POD6,352
664,1557-S-2,1557-S-2,266
665,156,156,1090
666,1571,1571,1235
667,1571-S2,1571-S2,1238
668,1572,1572,189
669,1572 POD,1572 POD,189
670,1572 S,1572 S,189
671,1578,1578,289
672,1578-S,1578-S,1258
673,158,158,681
674,158-S,158-S,924
675,1580,1580,58
676,1582,1582,420
677,1582-POD5,1582-POD5,420
678,1582-S3,1582-S3,1204
679,1583,1583,113
680,1586,1586,270
681,1586-S,1586-S,246
682,1586-S2,1586-S2,1135
683,1588,1588,697
684,1588-A,1588-A,147
685,1588-CS,1588-CS,1241
686,1588-S,1588-S,697
687,1589,1589,406
688,1589 POD3,1589 POD3,406
689,1589-A,1589-A,832
690,1589-C,1589-C,102
691,1589C POD 2,1589C POD 2,102
692,159,159,358
693,1606,1606,1284
694,1606-S2,1606-S2,965
695,161,161,355
696,1616-C,1616-C,789
697,1616B POD 2,1616B POD 2,1121
698,1617 S-3,1617 S-3,1190
699,161A,161A,355
700,1626 POD 2,1626 POD 2,838
701,1626;1626-A,1626;1626-A,881
702,163,163,877
703,163-S,163-S,248
704,164,164,164
705,165,165,532
706,1657,1657,1337
707,1662,1662,800
708,1668,1668,743
709,1677 POD 3,1677 POD 3,18
710,1677 POD-2,1677 POD-2,18
711,1678,1678,123
712,16789-S2,16789-S2,570
713,1679 S,1679 S,570
714,1679 S2,1679 S2,570
715,1679-S2,1679-S2,570
716,1680,1680,129
717,1683-S2,1683-S2,75
718,1684-S,1684-S,308
719,1687,1687,137
720,1688,1688,1220
721,1691,1691,1252
722,1694-S POD 2,1694-S POD 2,298
723,1694;1694-S,1694;1694-S,1074
724,1695-S,1695-S,1231
725,1696 POD4,1696 POD4,572
726,1696-S2,1696-S2,307
727,1697,1697,51
728,1701,1701,1012
729,1703;1858,1703;1858,1210
730,1708,1708,1200
731,1716,1716,201
732,1716-S,1716-S,201
733,1717 POD 4,1717 POD 4,866
734,1717 S,1717 S,590
735,171;173,171;173,762
736,1720,1720,599
737,1722,1722,961
738,174,174,1184
739,1752;1182,1752;1182,131
740,1763,1763,1132
741,1776,1776,343
742,1777,1777,409
743,1788,1788,433
744,18,18,1134
745,1811,1811,663
746,1813,1813,721
747,1826-S,1826-S,736
748,1831;1850,1831;1850,1093
749,1835,1835,797
750,1836,1836,83
751,184,184,923
752,185,185,876
753,1855,1855,1213
754,186,186,194
755,186 B,186 B,194
756,1867,1867,1068
757,1871,1871,716
758,1879,1879,144
759,1886 A,1886 A,1206
760,1886-A,1886-A,1206
761,1886-AA-1887,1886-AA-1887,1244
762,1886-AA;1887,1886-AA;1887,1244
763,1887,1887,1022
764,189-A,189-A,677
765,1890,1890,559
766,1890;CS,1890;CS,1259
767,1895,1895,747
768,1900,1900,368
769,1903-S,1903-S,154
770,1913,1913,1073
771,1914,1914,1138
772,1918;2195,1918;2195,829
773,192,192,1055
774,1920,1920,398
775,1920 POD 3,1920 POD 3,288
776,1921,1921,547
777,1921 POD 3,1921 POD 3,547
778,1921-S,1921-S,547
779,1925-S,1925-S,44
780,1928 AA,1928 AA,645
781,1928-AA POD 4,1928-AA POD 4,487
782,1928-AS,1928-AS,1201
783,1928-S,1928-S,190
784,193 POD 2,193 POD 2,530
785,193 POD 3,193 POD 3,1143
786,1936,1936,577
787,1936 POD 2,1936 POD 2,25
788,1936 POD 4,1936 POD 4,577
789,194,194,40
790,194 C,194 C,40
791,1950,1950,299
792,1955,1955,198
793,1955-S,1955-S,200
794,1956-A,1956-A,20
795,1979,1979,290
796,1998,1998,1172
797,20,20,1153
798,20 POD 7,20 POD 7,875
799,20-S,20-S,1176
800,20-S2,20-S2,869
801,20-S4,20-S4,1106
802,203 POD 3,203 POD 3,603
803,2050,2050,855
804,2050 POD 2,2050 POD 2,359
805,2050;2871,2050;2871,855
806,206,206,319
807,206-A-S-3,206-A-S-3,237
808,206-AS,206-AS,685
809,206-AS2,206-AS2,1294
810,206-S,206-S,760
811,207;1402,207;1402,849
812,210,210,333
813,210-0 (POD 12),210-0 (POD 12),240
814,210-14,210-14,489
815,210-17,210-17,333
816,210-19,210-19,478
817,210-3,210-3,333
